"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39211140,126834057,1,12-FEB-20,1,"N",51,5,30,"F",1,3,"U","","",30,0
2020,39201372,126800502,1,30-JAN-20,1,"N",51,5,30,"M",1,3,"R","","",30,0
2020,39205675,126802449,1,22-JAN-20,3,"N",16,5,35,"M",1,3,"N","","",35,0
2020,39205814,126802704,1,27-JAN-20,1,"N",51,5,24,"M",1,2,"U","","",24,0
2020,39205855,126800872,1,13-JAN-20,3,"N",16,5,49,"F",1,3,"N","","",49,0
2020,39201686,126803072,1,03-JAN-20,1,"N",45,5,70,"F",1,2,"U","","",70,0
2020,39206221,126806987,1,21-JAN-20,3,"N",44,5,43,"M",1,3,"R","","",43,0
2020,39206408,126807377,1,04-JAN-20,2,"N",5,5,21,"M",1,2,"R","","",21,0
2020,39216018,126834541,1,08-FEB-20,2,"N",63,5,18,"M",0,3,"N","","",18,0
2020,39216042,126836217,1,24-FEB-20,3,"N",45,5,34,"M",1,1,"R","","",34,0
2020,39216072,126834654,2,06-JAN-20,1,"N",16,5,36,"F",1,2,"R","","",36,0
2020,39216071,126834654,1,06-JAN-20,1,"N",16,5,43,"M",1,2,"R","","",43,0
2020,39211345,126834664,1,08-JAN-20,3,"N",2,5,31,"M",1,2,"R","","",31,0
2020,39216223,126834858,1,29-JAN-20,2,"N",23,5,25,"F",1,2,"R","","",25,0
2020,39216231,126834881,1,29-JAN-20,3,"N",16,5,37,"M",1,3,"R","","",37,0
2020,39216308,126835023,1,05-FEB-20,3,"N",2,5,49,"M",1,3,"R","","",49,0
2020,39216326,126836553,1,11-FEB-20,2,"N",44,5,37,"M",1,2,"N","","",37,0
2020,39216336,126836571,1,09-FEB-20,1,"N",49,5,26,"M",1,2,"R","","",26,0
2020,39254161,126943739,1,30-MAR-20,2,"N",2,5,41,"M",1,2,"R","","",41,0
2020,39254314,126944119,1,08-JAN-20,2,"N",23,5,30,"M",1,2,"R","","",30,0
