"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,12,132561867,0.002,1,15697807
2020,12,132561895,1,1,15697809
2020,5,132557163,12.7,1,15697824
2020,12,132557165,0.001,1,15697826
2020,4,132557212,0.72,1,15697839
2020,15,132557212,1,11,15702810
2020,12,132562179,0.8,1,15697860
2020,5,132562295,0.001,1,15697882
2020,4,132562357,5.89,1,15702831
2020,12,132562366,20.28,1,15702834
2020,4,132562366,9,1,15702833
2020,4,132562391,2.48,1,15697896
2020,12,132557405,0.5,1,15697902
2020,4,132557458,1.3,1,15697909
2020,12,132562548,0.001,1,15697912
2020,16,132557498,1,9,15702853
2020,4,132557498,1,11,15702855
2020,12,132557511,0.9,1,15697920
2020,12,130635488,,,15202594
2020,12,130631915,,,15197705
2020,12,130635604,1,11,15197709
2020,12,130635630,1,11,15202600
2020,12,130632263,1,11,15202618
2020,12,130636225,0.6,1,15202654
2020,12,130633357,25,5,15197782
2020,12,130633814,1,1,15197799
2020,12,130633959,1,11,15202719
2020,12,130637208,1.1,1,15197809
2020,12,130640361,33,1,15202794
2020,4,130638260,0.3,1,15197864
2020,17,130638298,1,11,15197865
2020,4,130627493,1,9,15192142
2020,4,130620247,0.001,1,15197045
2020,12,130620434,0.001,1,15192168
2020,12,130627763,0.58,1,15192178
2020,2,130620605,0.001,1,15197098
2020,4,130620929,0.127,1,15197129
2020,12,130620929,1.33,1,15197132
2020,12,130620976,2.5,1,15197142
2020,5,130628226,7,9,15197150
2020,5,130628290,,,15197156
2020,12,130621110,8.94,1,15192258
2020,4,130628571,2584.95,1,15197203
2020,12,130621574,8.9,1,15192310
2020,5,130621644,21.5,3,15192314
2020,8,130628751,28,9,15197230
2020,12,130621749,0.01,3,15197241
2020,12,130621812,4.6,1,15192325
2020,4,130628940,1,1,15197258
2020,12,130628999,1,11,15197267
2020,12,130622100,0.002,1,15192365
2020,12,130629159,5.301,1,15192387
2020,12,130622278,13,1,15197341
2020,12,130622284,3,1,15197342
2020,12,130622355,3.2,1,15192424
2020,17,130629478,95,9,15197366
2020,12,130629478,1,11,15197367
2020,12,130622837,0.002,1,15197403
2020,12,130629987,,,15197413
2020,4,130623206,,,15197430
2020,12,130623219,0.801,1,15197435
2020,12,130630143,0.001,1,15197438
2020,12,130623263,0.05,1,15197504
2020,5,130623401,36,1,15197544
2020,12,130623437,0.002,1,15197551
2020,5,130623440,25,1,15197460
2020,12,130623474,1,1,15197559
2020,2,130630389,21.7,1,15202482
2020,12,130623570,1,1,15197576
2020,12,130630426,1,11,15202487
2020,12,130623584,1,1,15197577
2020,5,130630467,2,3,15202489
2020,12,130630467,7,1,15202490
2020,5,130623678,,,15202492
2020,12,130623691,1,11,15197593
2020,4,130624451,1,11,15202540
2020,5,130631265,61,3,15197655
2020,12,130631265,6.4,1,15202553
2020,12,130634828,5.2,1,15197665
2020,5,130635316,1,4,15197690
2020,16,130635316,1,4,15197691
2020,12,130635842,1,11,15202609
2020,12,130632898,0.002,1,15202674
2020,4,130632898,20,5,15202672
2020,4,130632898,1,11,15202673
2020,12,130633905,0.5,1,15202716
2020,12,130633890,3.3,1,15202714
2020,12,130637151,1,11,15197806
2020,12,130637264,1,11,15197812
2020,12,130634426,1.4,1,15197822
2020,12,130640156,501.7,1,15202785
2020,4,130640156,353.5,1,15202784
2020,12,130637872,0.4,1,15197845
2020,12,130627617,9.34,1,15197058
2020,4,130620549,1.5,1,15197085
2020,12,130620549,2.6,1,15192191
2020,5,130620549,13.4,1,15197084
2020,4,130628408,0.001,1,15192271
2020,12,130629092,2,1,15192360
2020,12,130629123,2.13,1,15197294
2020,5,130623315,,,15197448
2020,12,130635431,57.8,1,15197698
2020,12,130632041,0.1,1,15202602
2020,12,130633114,7.3,1,15202690
2020,12,130627559,0.001,1,15197051
2020,12,130620485,0.001,1,15192177
2020,17,130620508,2,9,15192183
2020,12,130620509,0.9,1,15192184
2020,4,130620568,1.6,1,15197088
2020,12,130620568,0.001,1,15197089
2020,18,130621131,,,15197164
2020,12,130621131,0.002,1,15197163
2020,17,130621131,5.162,1,15197162
2020,4,130621171,2,1,15192263
2020,4,130621171,7,5,15192262
2020,4,130621292,0.151,1,15192273
2020,12,130628474,0.18,3,15192279
2020,12,130621569,0.001,1,15197222
2020,5,130628835,12.5,4,15192321
2020,12,130628856,4.4,1,15192328
2020,12,130621823,5,1,15192329
2020,12,130628920,0.5,1,15197255
2020,12,130622040,1,1,15192345
2020,8,130629174,1,9,15197303
2020,4,130629174,0.7,1,15192391
2020,16,130629174,9,9,15192392
2020,12,130622185,4.2,1,15197306
2020,4,130629273,0.01,1,15197345
2020,12,130629273,0.01,1,15197346
2020,12,130629349,7,1,15197352
2020,12,130622455,0.005,1,15192433
2020,4,130622455,0.005,1,15192432
2020,5,130629530,0.005,1,15192447
2020,12,130622923,68.8,1,15197482
2020,12,130629999,0.01,1,15197418
2020,5,130630114,0.001,1,15197497
2020,12,130623228,0.16,1,15197437
2020,12,130630385,1,11,15202481
2020,12,130623611,1,1,15197580
2020,12,130630852,0.001,1,15202526
2020,4,130631565,6.4,1,15202572
2020,12,130631565,1.6,1,15197674
2020,12,130635469,1,5,15197701
2020,12,130635868,0.1,1,15197725
2020,12,130636203,1,11,15202642
2020,12,130634326,1,9,15197811
2020,4,132557511,0.5,1,15697919
2020,12,132557515,0.5,1,15697921
2020,12,132562602,0.4,1,15697925
2020,4,132562617,20,1,15697926
2020,12,132562618,0.5,1,15697927
2020,12,132562728,0.6,1,15702874
2020,4,132557698,55.2,1,15702876
2020,12,132562793,1,11,15697939
2020,5,132557776,,,15697945
2020,4,132557908,1,11,15702899
2020,4,132562985,0.95,1,15702917
2020,12,132558054,122.7,1,15702933
2020,17,132563189,,,15697984
2020,4,132563228,466.8,1,15702944
2020,4,132563279,0.6,1,15702947
2020,12,132563279,4,1,15697988
2020,5,132563324,710,4,15697998
