"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,8523205,15516,1,2020,"I",,"Y","G","C","2020_01_OR0220300_NIBRS",78982153,0
2020,8499218,15516,2,2020,"I",,"Y","G","C","2020_02_OR0220300_NIBRS",93771641,0
2020,8543851,15516,3,2020,"I",,"Y","G","C","2020_03_OR0220300_NIBRS",82627226,0
2020,8483855,15516,4,2020,"I",,"Y","G","C","2020_04_OR0220300_NIBRS",82627229,0
2020,8519941,15516,5,2020,"I",,"Y","G","C","2020_05_OR0220300_NIBRS",95023517,0
2020,8554187,15516,6,2020,"I",,"Y","G","C","2020_06_OR0220300_NIBRS",95023547,0
2020,8487499,15516,7,2020,"I",,"Y","G","C","2020_07_OR0220300_NIBRS",82624856,0
2020,8502801,15516,8,2020,"I",,"Y","G","C","2020_08_OR0220300_NIBRS",97410529,0
2020,8500210,15516,9,2020,"I",,"Y","G","C","2020_09_OR0220300_NIBRS",95018948,0
2020,8508651,15516,10,2020,"I",,"Y","G","C","2020_10_OR0220300_NIBRS",97410587,0
2020,8481474,15516,11,2020,"I",,"Y","G","C","2020_11_OR0220300_NIBRS",97414723,0
2020,8539619,15516,12,2020,"I",,"Y","G","C","2020_12_OR0220300_NIBRS",97410632,0
2020,8538367,15369,1,2020,"I",,"Y","G","C","2020_01_OR0030100_NIBRS",89983991,0
2020,8570163,15369,2,2020,"I",,"Y","G","C","2020_02_OR0030100_NIBRS",89984004,0
2020,8542521,15369,3,2020,"I",,"Y","G","C","2020_03_OR0030100_NIBRS",89980394,0
2020,8565115,15369,4,2020,"I",,"Y","G","C","2020_04_OR0030100_NIBRS",97422474,0
2020,8515184,15369,5,2020,"I",,"Y","G","C","2020_05_OR0030100_NIBRS",89980426,0
2020,8566856,15369,6,2020,"I",,"Y","G","C","2020_06_OR0030100_NIBRS",97422496,0
2020,8528980,15369,7,2020,"I",,"Y","G","C","2020_07_OR0030100_NIBRS",97417921,0
2020,8554890,15369,8,2020,"I",,"Y","G","C","2020_08_OR0030100_NIBRS",97422551,0
2020,8526186,15369,9,2020,"I",,"Y","G","C","2020_09_OR0030100_NIBRS",97417961,0
2020,8534932,15369,10,2020,"I",,"Y","G","C","2020_10_OR0030100_NIBRS",97422616,0
2020,8553595,15369,11,2020,"I",,"Y","G","C","2020_11_OR0030100_NIBRS",97418005,0
2020,8491867,15369,12,2020,"U",,"Y","G","C","2020_12_OR0030100_NIBRS",,0
2020,8564855,15456,1,2020,"I",,"Y","G","C","2020_01_OR0140000_NIBRS",78520470,0
2020,8482544,15456,2,2020,"I",,"Y","G","C","2020_02_OR0140000_NIBRS",78976110,0
2020,8480864,15456,3,2020,"I",,"Y","G","C","2020_03_OR0140000_NIBRS",78970865,0
2020,8532072,15456,4,2020,"I",,"Y","G","C","2020_04_OR0140000_NIBRS",78970876,0
