year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
,,,,,,,,,,,,,
2019,AL,Alabama,AUTAUGA ,Autauga ,1001,05000US01001,55380,21397,7297,3648,58731,25458,936
,,,,,,,,,,,,,
2019,AL,Alabama,BALDWIN ,Baldwin ,1003,05000US01003,212830,80930,22143,17779,58320,99317,4226
,,,,,,,,,,,,,
2019,AL,Alabama,BARBOUR ,Barbour ,1005,05000US01005,25361,9345,2886,2050,32525,9262,849
,,,,,,,,,,,,,
2019,AL,Alabama,BIBB ,Bibb ,1007,05000US01007,22493,6891,2118,1471,47542,9046,659
,,,,,,,,,,,,,
2019,AL,Alabama,BLOUNT ,Blount ,1009,05000US01009,57681,20847,6430,4227,49358,22680,763
,,,,,,,,,,,,,
2019,AL,Alabama,BULLOCK ,Bullock ,1011,05000US01011,10248,3521,1229,674,37785,4493,174
,,,,,,,,,,,,,
2019,AL,Alabama,BUTLER ,Butler ,1013,05000US01013,19828,6506,1675,1376,40688,8509,579
,,,,,,,,,,,,,
2019,AL,Alabama,CALHOUN ,Calhoun ,1015,05000US01015,114618,44605,13638,8534,47255,52106,4210
,,,,,,,,,,,,,
2019,AL,Alabama,CHAMBERS ,Chambers ,1017,05000US01017,33660,13448,3387,2834,42289,15487,610
,,,,,,,,,,,,,
2019,AL,Alabama,CHEROKEE ,Cherokee ,1019,05000US01019,25903,10737,2858,2521,41919,10443,463
,,,,,,,,,,,,,
2019,AL,Alabama,CHILTON ,Chilton ,1021,05000US01021,44055,16927,5429,2812,47468,18726,1200
,,,,,,,,,,,,,
2019,AL,Alabama,CHOCTAW ,Choctaw ,1023,05000US01023,12925,5300,1479,1261,35892,4531,358
,,,,,,,,,,,,,
2019,AL,Alabama,CLARKE ,Clarke ,1025,05000US01025,24128,9090,2301,1966,37404,8850,1080
,,,,,,,,,,,,,
2019,AL,Alabama,CLAY ,Clay ,1027,05000US01027,13337,5198,1562,1132,40845,5843,316
,,,,,,,,,,,,,
2019,AL,Alabama,CLEBURNE ,Cleburne ,1029,05000US01029,14916,5680,1503,1129,44741,6068,361
,,,,,,,,,,,,,
2019,AL,Alabama,COFFEE ,Coffee ,1031,05000US01031,51662,19924,6792,3596,55637,23241,1334
,,,,,,,,,,,,,
2019,AL,Alabama,COLBERT ,Colbert ,1033,05000US01033,54771,21880,5957,4460,48065,23871,1039
,,,,,,,,,,,,,
