year,state,STATE,STATEA,county,County,COUNTYA,fips,GEOID,population
2019,AL,Alabama,1,AUTAUGA ,Autauga ,1,1001,05000US01001,4410
2019,AL,Alabama,1,BALDWIN ,Baldwin ,3,1003,05000US01003,1564
2019,AL,Alabama,1,BARBOUR ,Barbour ,5,1005,05000US01005,2291
2019,AL,Alabama,1,BIBB ,Bibb ,7,1007,05000US01007,5504
2019,AL,Alabama,1,BLOUNT ,Blount ,9,1009,05000US01009,2136
2019,AL,Alabama,1,BULLOCK ,Bullock ,11,1011,05000US01011,12122
2019,AL,Alabama,1,BUTLER ,Butler ,13,1013,05000US01013,2858
2019,AL,Alabama,1,CALHOUN ,Calhoun ,15,1015,05000US01015,2090
2019,AL,Alabama,1,CHAMBERS ,Chambers ,17,1017,05000US01017,2979
2019,AL,Alabama,1,CHEROKEE ,Cherokee ,19,1019,05000US01019,2465
2019,AL,Alabama,1,CHILTON ,Chilton ,21,1021,05000US01021,2972
2019,AL,Alabama,1,CHOCTAW ,Choctaw ,23,1023,05000US01023,2854
2019,AL,Alabama,1,CLARKE ,Clarke ,25,1025,05000US01025,3257
2019,AL,Alabama,1,CLAY ,Clay ,27,1027,05000US01027,6518
2019,AL,Alabama,1,CLEBURNE ,Cleburne ,29,1029,05000US01029,3847
2019,AL,Alabama,1,COFFEE ,Coffee ,31,1031,05000US01031,1849
2019,AL,Alabama,1,COLBERT ,Colbert ,33,1033,05000US01033,2746
2019,AL,Alabama,1,CONECUH ,Conecuh ,35,1035,05000US01035,3835
2019,AL,Alabama,1,COOSA ,Coosa ,37,1037,05000US01037,4339
2019,AL,Alabama,1,COVINGTON ,Covington ,39,1039,05000US01039,2667
2019,AL,Alabama,1,CRENSHAW ,Crenshaw ,41,1041,05000US01041,2743
2019,AL,Alabama,1,CULLMAN ,Cullman ,43,1043,05000US01043,1921
2019,AL,Alabama,1,DALE ,Dale ,45,1045,05000US01045,2845
2019,AL,Alabama,1,DALLAS ,Dallas ,47,1047,05000US01047,1728
2019,AL,Alabama,1,DEKALB ,DeKalb ,49,1049,05000US01049,1676
2019,AL,Alabama,1,ELMORE ,Elmore ,51,1051,05000US01051,2952
2019,AL,Alabama,1,ESCAMBIA ,Escambia ,53,1053,05000US01053,2972
2019,AL,Alabama,1,ETOWAH ,Etowah ,55,1055,05000US01055,1878
2019,AL,Alabama,1,FAYETTE ,Fayette ,57,1057,05000US01057,3370
2019,AL,Alabama,1,FRANKLIN ,Franklin ,59,1059,05000US01059,2096
2019,AL,Alabama,1,GENEVA ,Geneva ,61,1061,05000US01061,2831
2019,AL,Alabama,1,GREENE ,Greene ,63,1063,05000US01063,6721
2019,AL,Alabama,1,HALE ,Hale ,65,1065,05000US01065,5341
2019,AL,Alabama,1,HENRY ,Henry ,67,1067,05000US01067,3746
2019,AL,Alabama,1,HOUSTON ,Houston ,69,1069,05000US01069,1033
2019,AL,Alabama,1,JACKSON ,Jackson ,71,1071,05000US01071,1158
2019,AL,Alabama,1,JEFFERSON ,Jefferson ,73,1073,05000US01073,642
2019,AL,Alabama,1,LAMAR ,Lamar ,75,1075,05000US01075,4154
2019,AL,Alabama,1,LAUDERDALE ,Lauderdale ,77,1077,05000US01077,1834
2019,AL,Alabama,1,LAWRENCE ,Lawrence ,79,1079,05000US01079,2943
2019,AL,Alabama,1,LEE ,Lee ,81,1081,05000US01081,2221
2019,AL,Alabama,1,LIMESTONE ,Limestone ,83,1083,05000US01083,2190
2019,AL,Alabama,1,LOWNDES ,Lowndes ,85,1085,05000US01085,4948
2019,AL,Alabama,1,MACON ,Macon ,87,1087,05000US01087,3502
2019,AL,Alabama,1,MADISON ,Madison ,89,1089,05000US01089,1211
2019,AL,Alabama,1,MARENGO ,Marengo ,91,1091,05000US01091,4158
2019,AL,Alabama,1,MARION ,Marion ,93,1093,05000US01093,3370
2019,AL,Alabama,1,MARSHALL ,Marshall ,95,1095,05000US01095,1454
2019,AL,Alabama,1,MOBILE ,Mobile ,97,1097,05000US01097,1060
2019,AL,Alabama,1,MONROE ,Monroe ,99,1099,05000US01099,3305
2019,AL,Alabama,1,MONTGOMERY ,Montgomery ,101,1101,05000US01101,985
