combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,property_rel,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult,property_crime,person_crime,society_crime
ABBEVILLE-SC-2019-1,16,14,20,0,NA,43,62,3,74,63,3,10,89,10,89,89,39,41
ABBEVILLE-SC-2019-10,23,15,19,0,NA,45,35,0,67,27,0,0,79,0,79,60,34,26
ABBEVILLE-SC-2019-11,14,8,14,0,NA,41,45,0,54,32,0,5,81,5,81,82,23,23
ABBEVILLE-SC-2019-12,48,44,41,0,NA,68,35,0,115,26,0,3,98,3,98,67,64,39
ABBEVILLE-SC-2019-2,14,7,45,0,NA,37,76,6,84,102,6,19,86,19,86,89,53,66
ABBEVILLE-SC-2019-3,37,23,31,0,NA,65,62,1,100,54,1,10,111,10,111,104,51,44
ABBEVILLE-SC-2019-4,66,55,77,0,NA,85,143,2,138,156,2,6,218,6,218,84,98,132
ABBEVILLE-SC-2019-5,11,10,24,0,NA,55,51,0,85,33,0,12,92,12,92,80,48,25
ABBEVILLE-SC-2019-6,23,15,23,0,NA,46,43,1,77,37,1,2,86,2,86,58,39,53
ABBEVILLE-SC-2019-7,18,7,8,0,NA,39,46,1,56,29,1,2,82,2,82,83,23,20
ABBEVILLE-SC-2019-8,13,9,18,0,NA,30,40,0,68,26,0,5,64,5,64,62,25,34
ABBEVILLE-SC-2019-9,17,12,31,0,NA,49,45,2,51,34,2,7,87,7,87,74,46,14
ACADIA-LA-2019-1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1
ACADIA-LA-2019-2,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,2
ACADIA-LA-2019-4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
ACADIA-LA-2019-5,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
ACADIA-LA-2019-7,0,0,0,0,NA,1,1,0,4,0,0,0,1,0,1,2,0,2
ACADIA-LA-2019-8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0
ACCOMACK-VA-2019-1,16,9,23,0,NA,48,52,0,98,22,0,3,88,3,88,73,51,32
ACCOMACK-VA-2019-10,21,13,20,0,NA,57,63,4,107,26,4,5,105,5,105,111,45,18
ACCOMACK-VA-2019-11,13,9,15,0,NA,49,32,0,70,21,0,7,68,7,68,71,31,15
ACCOMACK-VA-2019-12,23,14,17,0,NA,36,70,0,72,26,0,7,89,7,89,85,40,18
ACCOMACK-VA-2019-2,13,15,18,0,NA,40,44,0,79,22,0,7,76,7,76,65,42,23
ACCOMACK-VA-2019-3,22,15,22,0,NA,35,49,0,86,16,0,4,75,4,75,53,42,37
ACCOMACK-VA-2019-4,18,5,17,0,NA,42,54,1,78,30,1,5,80,5,80,79,42,22
ACCOMACK-VA-2019-5,32,25,44,0,NA,60,97,2,90,59,2,24,124,24,124,102,74,21
ACCOMACK-VA-2019-6,48,34,41,0,NA,72,81,1,125,31,1,13,123,13,123,106,70,19
ACCOMACK-VA-2019-7,21,13,25,0,NA,66,65,0,97,33,0,3,121,3,121,103,53,30
ACCOMACK-VA-2019-8,38,24,38,0,NA,76,74,0,106,37,0,7,125,7,125,91,75,27
ACCOMACK-VA-2019-9,28,24,45,0,NA,66,55,2,99,24,2,14,102,14,102,75,69,15
ADA-ID-2019-1,212,211,265,0,NA,553,632,15,1300,537,15,108,1062,108,1062,985,516,811
ADA-ID-2019-10,253,237,333,0,NA,685,644,34,1367,614,34,143,1174,143,1174,1200,542,825
ADA-ID-2019-11,205,174,289,1,NA,591,547,16,1054,531,16,99,1021,99,1021,1048,468,662
ADA-ID-2019-12,236,208,307,4,NA,598,657,20,1196,552,20,65,1161,65,1161,1192,522,623
ADA-ID-2019-2,215,200,268,0,NA,619,727,10,1196,542,10,132,1184,132,1184,1097,510,704
ADA-ID-2019-3,238,225,332,0,NA,612,599,8,1354,449,8,117,1074,117,1074,1047,560,674
ADA-ID-2019-4,234,201,281,0,NA,591,548,17,1049,540,17,109,1011,109,1011,941,476,653
ADA-ID-2019-5,235,230,309,2,NA,646,646,24,1240,608,24,154,1113,154,1113,1147,567,707
ADA-ID-2019-6,249,202,279,0,NA,779,735,18,1182,654,18,104,1374,104,1374,1348,500,659
ADA-ID-2019-7,288,241,327,0,NA,781,665,18,1251,568,18,109,1315,109,1315,1335,560,641
ADA-ID-2019-8,254,250,338,0,NA,729,755,12,1360,624,12,154,1281,154,1281,1309,578,766
ADA-ID-2019-9,249,252,309,0,NA,686,680,20,1277,601,20,134,1207,134,1207,1170,570,775
ADAIR-IA-2019-1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
ADAIR-IA-2019-10,0,0,0,0,NA,1,1,0,0,0,0,0,2,0,2,3,0,0
ADAIR-IA-2019-11,0,0,0,0,NA,4,0,0,3,4,0,0,4,0,4,4,0,3
ADAIR-IA-2019-12,0,0,0,0,NA,1,0,0,5,2,0,0,1,0,1,1,0,7
ADAIR-IA-2019-2,0,0,0,0,NA,1,1,0,3,0,0,0,2,0,2,2,0,3
ADAIR-IA-2019-3,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1
ADAIR-IA-2019-4,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0
ADAIR-IA-2019-5,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1
ADAIR-IA-2019-6,0,2,0,0,NA,5,5,0,6,4,0,0,10,0,10,8,2,1
ADAIR-IA-2019-7,2,1,0,0,NA,7,2,0,14,2,0,0,9,0,9,8,2,10
ADAIR-IA-2019-8,0,0,0,0,NA,3,0,0,0,1,0,0,3,0,3,6,0,0
