GEOID,county,NAME,state,State,pop_dens
,,,,,
1001,AUTAUGA  ,Autauga  ,AL,Alabama,35.85341899
,,,,,
1003,BALDWIN  ,Baldwin  ,AL,Alabama,50.54150356
,,,,,
1005,BARBOUR  ,Barbour  ,AL,Alabama,11.24798121
,,,,,
1007,BIBB  ,Bibb  ,AL,Alabama,13.973114
,,,,,
1009,BLOUNT  ,Blount  ,AL,Alabama,34.51581642
,,,,,
1011,BULLOCK  ,Bullock  ,AL,Alabama,6.41761955
,,,,,
1013,BUTLER  ,Butler  ,AL,Alabama,9.952770785
,,,,,
1015,CALHOUN  ,Calhoun  ,AL,Alabama,73.348688
,,,,,
1017,CHAMBERS  ,Chambers  ,AL,Alabama,21.89263808
,,,,,
1019,CHEROKEE  ,Cherokee  ,AL,Alabama,18.0333283
,,,,,
1021,CHILTON  ,Chilton  ,AL,Alabama,24.48066939
,,,,,
1023,CHOCTAW  ,Choctaw  ,AL,Alabama,5.526508604
,,,,,
1025,CLARKE  ,Clarke  ,AL,Alabama,7.603131652
,,,,,
1027,CLAY  ,Clay  ,AL,Alabama,8.552331345
,,,,,
1029,CLEBURNE  ,Cleburne  ,AL,Alabama,10.29735391
,,,,,
1031,COFFEE  ,Coffee  ,AL,Alabama,29.16467291
,,,,,
1033,COLBERT  ,Colbert  ,AL,Alabama,35.49694998
,,,,,
1035,CONECUH  ,Conecuh  ,AL,Alabama,5.682995171
,,,,,
1037,COOSA  ,Coosa  ,AL,Alabama,6.438885282
,,,,,
1039,COVINGTON  ,Covington  ,AL,Alabama,13.99370346
,,,,,
1041,CRENSHAW  ,Crenshaw  ,AL,Alabama,8.792273306
,,,,,
1043,CULLMAN  ,Cullman  ,AL,Alabama,43.25267563
,,,,,
1045,DALE  ,Dale  ,AL,Alabama,33.89312549
,,,,,
1047,DALLAS  ,Dallas  ,AL,Alabama,15.79103338
,,,,,
1049,DEKALB  ,DeKalb  ,AL,Alabama,35.37577983
,,,,,
1051,ELMORE  ,Elmore  ,AL,Alabama,50.70144021
,,,,,
1053,ESCAMBIA  ,Escambia  ,AL,Alabama,15.24764898
,,,,,
1055,ETOWAH  ,Etowah  ,AL,Alabama,74.25054812
,,,,,
1057,FAYETTE  ,Fayette  ,AL,Alabama,10.20180135
,,,,,
1059,FRANKLIN  ,Franklin  ,AL,Alabama,19.21135615
,,,,,
1061,GENEVA  ,Geneva  ,AL,Alabama,17.80431585
,,,,,
1063,GREENE  ,Greene  ,AL,Alabama,5.028100131
,,,,,
1065,HALE  ,Hale  ,AL,Alabama,8.925557001
,,,,,
1067,HENRY  ,Henry  ,AL,Alabama,11.76966574
,,,,,
1069,HOUSTON  ,Houston  ,AL,Alabama,69.48209266
,,,,,
1071,JACKSON  ,Jackson  ,AL,Alabama,18.65848284
,,,,,
1073,JEFFERSON  ,Jefferson  ,AL,Alabama,229.2513381
,,,,,
1075,LAMAR  ,Lamar  ,AL,Alabama,8.894097028
,,,,,
1077,LAUDERDALE  ,Lauderdale  ,AL,Alabama,53.51282236
,,,,,
