"","combo","partner_crime","child_crime","stranger_crime","burglary_home_stranger","victim_male","victim_female","victim_unknown_sex","offender_male","offender_female","offender_unknown_sex","victim_minor","victim_adult","offender_minor","offender_adult"
"1","ABBEVILLE-SC-2018-1",49,40,55,0,113,109,0,178,68,16,19,203,19,203
"2","ABBEVILLE-SC-2018-10",32,25,36,0,88,71,0,99,49,35,9,147,9,147
"3","ABBEVILLE-SC-2018-11",19,15,31,0,55,69,0,93,48,24,3,119,3,119
"4","ABBEVILLE-SC-2018-12",28,25,36,0,73,100,1,112,63,29,1,162,1,162
"5","ABBEVILLE-SC-2018-2",30,21,39,0,88,71,4,134,39,20,5,152,5,152
"6","ABBEVILLE-SC-2018-3",29,15,28,0,106,84,1,143,77,11,4,182,4,182
"7","ABBEVILLE-SC-2018-4",28,23,46,0,92,76,1,120,63,33,12,152,12,152
"8","ABBEVILLE-SC-2018-5",48,39,70,0,123,109,0,194,75,32,12,209,12,209
"9","ABBEVILLE-SC-2018-6",31,29,40,0,81,66,0,158,47,25,8,138,8,138
"10","ABBEVILLE-SC-2018-7",25,12,30,0,97,75,2,160,50,24,8,162,8,162
"11","ABBEVILLE-SC-2018-8",35,31,79,0,134,93,0,192,68,28,23,202,23,202
"12","ABBEVILLE-SC-2018-9",23,21,34,0,80,73,0,108,46,29,11,142,11,142
"13","ACADIA-LA-2018-1",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"14","ACADIA-LA-2018-11",0,0,1,0,4,1,0,1,5,0,0,1,0,1
"15","ACADIA-LA-2018-12",0,0,0,0,0,0,0,3,1,0,0,0,0,0
"16","ACADIA-LA-2018-2",1,0,0,0,7,1,0,11,0,0,0,5,0,5
"17","ACADIA-LA-2018-3",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"18","ACADIA-LA-2018-4",0,1,0,0,0,1,0,2,0,0,0,1,0,1
"19","ACADIA-LA-2018-6",0,0,0,0,0,0,0,2,1,0,0,0,0,0
"20","ACADIA-LA-2018-7",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"21","ACADIA-LA-2018-8",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"22","ACADIA-LA-2018-9",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"23","ACCOMACK-VA-2018-1",29,28,36,0,40,51,6,95,21,6,10,79,10,79
"24","ACCOMACK-VA-2018-10",29,20,28,0,68,71,0,111,24,15,5,126,5,126
"25","ACCOMACK-VA-2018-11",50,46,68,0,73,124,0,176,50,8,35,159,35,159
"26","ACCOMACK-VA-2018-12",40,19,33,0,51,80,6,106,37,15,11,122,11,122
"27","ACCOMACK-VA-2018-2",19,18,26,0,35,39,2,70,10,3,10,62,10,62
"28","ACCOMACK-VA-2018-3",22,19,20,0,59,50,2,67,35,6,10,92,10,92
"29","ACCOMACK-VA-2018-4",23,10,25,0,45,81,2,96,26,6,3,113,3,113
"30","ACCOMACK-VA-2018-5",16,13,26,0,51,69,0,75,20,6,12,101,12,101
"31","ACCOMACK-VA-2018-6",17,9,20,0,61,61,1,80,32,8,5,106,5,106
"32","ACCOMACK-VA-2018-7",11,10,13,0,22,33,1,49,14,8,3,39,3,39
"33","ACCOMACK-VA-2018-8",20,10,17,0,40,56,1,73,23,21,2,77,2,77
"34","ACCOMACK-VA-2018-9",15,9,18,0,59,36,4,67,33,16,3,90,3,90
"35","ADA-ID-2018-1",297,278,380,0,798,725,20,1320,666,20,122,1364,122,1364
"36","ADA-ID-2018-10",288,273,361,0,810,792,16,1356,626,37,200,1372,200,1372
"37","ADA-ID-2018-11",204,195,247,1,630,694,4,1246,507,61,108,1190,108,1190
"38","ADA-ID-2018-12",171,186,226,0,756,680,14,1371,682,73,135,1240,135,1240
"39","ADA-ID-2018-2",214,180,258,4,727,661,35,1271,582,9,148,1225,148,1225
"40","ADA-ID-2018-3",285,254,346,0,896,717,10,1611,629,19,168,1433,168,1433
"41","ADA-ID-2018-4",234,231,320,0,674,727,27,1279,609,18,132,1280,132,1280
"42","ADA-ID-2018-5",272,246,352,0,736,704,9,1335,621,22,160,1262,160,1262
"43","ADA-ID-2018-6",260,226,320,0,709,670,18,1210,531,22,146,1231,146,1231
"44","ADA-ID-2018-7",280,246,348,0,860,802,20,1392,563,38,126,1515,126,1515
"45","ADA-ID-2018-8",269,218,337,1,922,777,30,1362,656,25,133,1554,133,1554
"46","ADA-ID-2018-9",220,199,300,1,1002,803,43,1327,739,62,125,1489,125,1489
"47","ADAIR-IA-2018-1",1,2,2,0,5,3,0,6,0,0,0,8,0,8
"48","ADAIR-IA-2018-10",0,0,0,0,2,1,0,1,0,1,0,3,0,3
"49","ADAIR-IA-2018-11",0,0,0,0,1,0,0,0,1,0,0,1,0,1
"50","ADAIR-IA-2018-2",0,1,0,0,1,4,0,6,0,2,0,5,0,5
"51","ADAIR-IA-2018-3",0,0,0,0,1,2,0,2,0,0,0,3,0,3
"52","ADAIR-IA-2018-4",1,1,1,0,4,2,0,7,4,0,0,6,0,6
"53","ADAIR-IA-2018-5",2,1,4,0,2,5,0,16,3,0,0,7,0,7
"54","ADAIR-IA-2018-6",0,0,0,0,4,1,0,4,1,1,0,5,0,5
"55","ADAIR-IA-2018-7",5,4,4,0,4,6,0,12,0,1,0,10,0,10
"56","ADAIR-IA-2018-8",1,0,0,0,1,2,0,10,0,0,0,3,0,3
"57","ADAIR-IA-2018-9",0,0,1,0,8,4,0,5,3,2,0,12,0,12
"58","ADAIR-KY-2018-1",0,0,0,0,1,0,0,0,1,0,0,1,0,1
"59","ADAIR-KY-2018-10",0,0,0,0,2,2,0,3,2,0,0,4,0,4
"60","ADAIR-KY-2018-11",1,3,1,0,1,1,2,4,0,0,0,2,0,2
"61","ADAIR-KY-2018-12",2,2,2,0,2,0,0,2,1,0,2,0,2,0
"62","ADAIR-KY-2018-2",0,0,0,0,2,0,0,0,0,0,0,2,0,2
"63","ADAIR-KY-2018-3",2,2,1,0,4,1,0,5,0,0,1,3,1,3
"64","ADAIR-KY-2018-4",0,0,0,0,1,1,0,11,1,0,0,2,0,2
"65","ADAIR-KY-2018-5",0,0,0,0,0,1,0,0,1,0,0,1,0,1
"66","ADAIR-KY-2018-6",2,2,3,0,8,0,0,5,5,0,0,5,0,5
"67","ADAIR-KY-2018-7",1,1,1,0,9,8,0,9,2,0,0,17,0,17
"68","ADAIR-KY-2018-8",0,2,0,0,8,0,0,7,1,0,0,6,0,6
"69","ADAIR-KY-2018-9",0,0,0,0,2,5,0,7,1,0,0,7,0,7
"70","ADAIR-OK-2018-1",19,18,12,0,37,31,6,66,28,0,2,70,2,70
"71","ADAIR-OK-2018-10",14,13,8,0,35,24,2,72,33,1,6,55,6,55
"72","ADAIR-OK-2018-11",4,12,12,0,26,27,4,77,19,3,2,55,2,55
"73","ADAIR-OK-2018-12",20,17,14,2,29,39,7,75,19,2,7,68,7,68
"74","ADAIR-OK-2018-2",11,15,9,0,26,24,10,53,16,0,4,55,4,55
